reaction_id,reaction_equation,dil_test_in_v12
MAR02054,estrone [r] + H+ [r] + NADPH [r] + O2 [r] --> 16alpha-hydroxyestrone [r] + H2O [r] + NADP+ [r],ok
MAR02055,estrone [c] + H+ [c] + NADPH [c] + O2 [c] --> 2-hydroxyestrone [c] + H2O [c] + NADP+ [c],ok
MAR02056,estrone [l] + H+ [l] + NADPH [l] + O2 [l] --> 2-hydroxyestrone [l] + H2O [l] + NADP+ [l],always blocked
MAR02057,estrone [r] + H+ [r] + NADPH [r] + O2 [r] --> 2-hydroxyestrone [r] + H2O [r] + NADP+ [r],ok
MAR02058,2-hydroxyestrone [c] + SAM [c] <=> 2-methoxyestrone [c] + H+ [c] + SAH [c],ok
MAR02059,2-hydroxyestrone [r] + SAM [r] <=> 2-methoxyestrone [r] + H+ [r] + SAH [r],ok
MAR02060,2-hydroxy-3-methoxyestrone [c] + H+ [c] + SAH [c] <=> 2-hydroxyestrone [c] + SAM [c],always blocked
MAR02061,"2-hydroxyestrone [c] + H+ [c] + H2O2 [c] <=> estrone-2,3-semiquinone [c] + 2.0 H2O [c]",always blocked
MAR02062,"2-hydroxyestrone [l] + H+ [l] + H2O2 [l] <=> estrone-2,3-semiquinone [l] + 2.0 H2O [l]",always blocked
MAR02063,"2-hydroxyestrone [r] + H+ [r] + H2O2 [r] <=> estrone-2,3-semiquinone [r] + 2.0 H2O [r]",always blocked
MAR02064,"estrone-2,3-semiquinone [c] + O2 [c] --> estrone-2,3-quinone [c] + H+ [c] + O2- [c]",always blocked
MAR02068,"2-hydroxyestrone-1-S-glutathione [c] <=> estrone-2,3-quinone [c] + GSH [c]",always blocked
MAR02069,"2-hydroxyestrone-1-S-glutathione [m] <=> estrone-2,3-quinone [m] + GSH [m]",always blocked
MAR02070,"2-hydroxyestrone-1-S-glutathione [r] <=> estrone-2,3-quinone [r] + GSH [r]",always blocked
MAR02071,"2-hydroxyestrone-1-S-glutathione [x] <=> estrone-2,3-quinone [x] + GSH [x]",always blocked
MAR02072,"2-hydroxyestrone-4-S-glutathione [c] <=> estrone-2,3-quinone [c] + GSH [c]",always blocked
MAR02073,"2-hydroxyestrone-4-S-glutathione [m] <=> estrone-2,3-quinone [m] + GSH [m]",always blocked
MAR02074,"2-hydroxyestrone-4-S-glutathione [r] <=> estrone-2,3-quinone [r] + GSH [r]",always blocked
MAR02075,"2-hydroxyestrone-4-S-glutathione [x] <=> estrone-2,3-quinone [x] + GSH [x]",always blocked
MAR02076,"4-hydroxyestrone [c] + H+ [c] + H2O2 [c] <=> estrone-3,4-semiquinone [c] + 2.0 H2O [c]",always blocked
MAR02077,"4-hydroxyestrone [l] + H+ [l] + H2O2 [l] <=> estrone-3,4-semiquinone [l] + 2.0 H2O [l]",always blocked
MAR02078,"4-hydroxyestrone [r] + H+ [r] + H2O2 [r] <=> estrone-3,4-semiquinone [r] + 2.0 H2O [r]",always blocked
MAR02079,"estrone-3,4-semiquinone [c] + O2 [c] --> estrone-3,4-quinone [c] + H+ [c] + O2- [c]",always blocked
MAR02083,"4-hydroxyestrone-2-S-glutathione [c] <=> estrone-3,4-quinone [c] + GSH [c]",always blocked
MAR02084,"4-hydroxyestrone-2-S-glutathione [m] <=> estrone-3,4-quinone [m] + GSH [m]",always blocked
MAR02085,"4-hydroxyestrone-2-S-glutathione [r] <=> estrone-3,4-quinone [r] + GSH [r]",always blocked
MAR02086,"4-hydroxyestrone-2-S-glutathione [x] <=> estrone-3,4-quinone [x] + GSH [x]",always blocked
MAR02088,"17beta-estradiol-3,4-semiquinone [c] + 2.0 H2O [c] <=> 4-hydroxy-17beta-estradiol [c] + H2O2 [c]",ok
MAR02089,"17beta-estradiol-3,4-semiquinone [l] + 2.0 H2O [l] <=> 4-hydroxy-17beta-estradiol [l] + H2O2 [l]",ok
MAR02091,"17beta-estradiol-3,4-semiquinone [c] + O2 [c] --> 17beta-estradiol-3,4-quinone [c] + O2- [c]",always blocked
MAR02095,"17beta-estradiol-3,4-quinone [c] + GSH [c] <=> 4-hydroxy-17beta-estradiol-2-S-glutathione [c]",always blocked
MAR02096,"17beta-estradiol-3,4-quinone [m] + GSH [m] <=> 4-hydroxy-17beta-estradiol-2-S-glutathione [m]",always blocked
MAR02097,"17beta-estradiol-3,4-quinone [r] + GSH [r] <=> 4-hydroxy-17beta-estradiol-2-S-glutathione [r]",always blocked
MAR02098,"17beta-estradiol-3,4-quinone [x] + GSH [x] <=> 4-hydroxy-17beta-estradiol-2-S-glutathione [x]",always blocked
MAR02099,"17beta-estradiol-2,3-semiquinone [c] + 2.0 H2O [c] <=> 2-hydroxyestradiol-17beta [c] + H+ [c] + H2O2 [c]",always blocked
MAR02100,"17beta-estradiol-2,3-semiquinone [l] + 2.0 H2O [l] <=> 2-hydroxyestradiol-17beta [l] + H+ [l] + H2O2 [l]",always blocked
MAR02102,"17beta-estradiol-2,3-semiquinone [c] + O2 [c] --> 17beta-estradiol-2,3-quinone [c] + H+ [c] + O2- [c]",always blocked
MAR02106,"17beta-estradiol-2,3-quinone [c] + GSH [c] <=> 2-hydroxy-17beta-estradiol-4-S-glutathione [c]",always blocked
MAR02107,"17beta-estradiol-2,3-quinone [m] + GSH [m] <=> 2-hydroxy-17beta-estradiol-4-S-glutathione [m]",always blocked
MAR02108,"17beta-estradiol-2,3-quinone [r] + GSH [r] <=> 2-hydroxy-17beta-estradiol-4-S-glutathione [r]",always blocked
MAR02109,"17beta-estradiol-2,3-quinone [x] + GSH [x] <=> 2-hydroxy-17beta-estradiol-4-S-glutathione [x]",always blocked
MAR02110,"17beta-estradiol-2,3-quinone [c] + GSH [c] <=> 2-hydroxy-17beta-estradiol-1-S-glutathione [c]",always blocked
MAR02111,"17beta-estradiol-2,3-quinone [m] + GSH [m] <=> 2-hydroxy-17beta-estradiol-1-S-glutathione [m]",always blocked
MAR02112,"17beta-estradiol-2,3-quinone [r] + GSH [r] <=> 2-hydroxy-17beta-estradiol-1-S-glutathione [r]",always blocked
MAR02113,"17beta-estradiol-2,3-quinone [x] + GSH [x] <=> 2-hydroxy-17beta-estradiol-1-S-glutathione [x]",always blocked
MAR03537,"cholesterol-ester plasma pool [l] --> 0.0001 cholesterol-ester-10,13,16,19-docosa [l] + 0.0001 cholesterol-ester-10,13,16-docosa [l] + 0.0001 cholesterol-ester-10-hepta [l] + 0.0001 cholesterol-ester-11,14,17-eico [l] + 0.0001 cholesterol-ester-11,14-eicosa [l] + 0.0001 cholesterol-ester-11-docose [l] + 0.0001 cholesterol-ester-11-eico [l] + 0.0001 cholesterol-ester-12,15,18,21-tetracosa [l] + 0.0001 cholesterol-ester-13,16,19-doco [l] + 0.0001 cholesterol-ester-13,16-docosa [l] + 0.0001 cholesterol-ester-13-docose [l] + 0.0001 cholesterol-ester-13-eicose [l] + 0.0001 cholesterol-ester-13-octade [l] + 0.0001 cholesterol-ester-15-tetra [l] + 0.0041 cholesterol-ester-4,7,10,13,16,19-doco [l] + 0.0001 cholesterol-ester-4,7,10,13,16-docosa [l] + 0.0071 cholesterol-ester-5,8,11,14,17-eico [l] + 0.0001 cholesterol-ester-5,8,11-eico [l] + 0.0001 cholesterol-ester-5-tetra [l] + 0.0001 cholesterol-ester-6,9,12,15,18,21-tetra [l] + 0.0001 cholesterol-ester-6,9,12,15,18-tetraco [l] + 0.0001 cholesterol-ester-6,9,12,15-octa [l] + 0.0001 cholesterol-ester-6,9-octa [l] + 0.0001 cholesterol-ester-7,10,13,16,19-docosa [l] + 0.0001 cholesterol-ester-7,10,13,16-docosa [l] + 0.0406 cholesterol-ester-7-hexa [l] + 0.0001 cholesterol-ester-7-octade [l] + 0.0001 cholesterol-ester-7-tetrade [l] + 0.0001 cholesterol-ester-8,11,14,17-eico [l] + 0.0001 cholesterol-ester-8,11-eico [l] + 0.0001 cholesterol-ester-9,12,15,18,21-tetra [l] + 0.0001 cholesterol-ester-9,12,15,18-tetraco [l] + 0.0001 cholesterol-ester-9-eicose [l] + 0.0001 cholesterol-ester-9-heptade [l] + 0.0001 cholesterol-ester-9-octa [l] + 0.0001 cholesterol-ester-9-tetrade [l] + 0.0518 cholesterol-ester-arach [l] + 0.0001 cholesterol-ester-cis-vac [l] + 0.005 cholesterol-ester-dihomo-gamma [l] + 0.0001 cholesterol-ester-docosa [l] + 0.0001 cholesterol-ester-eico [l] + 0.0001 cholesterol-ester-gamma-lin [l] + 0.0001 cholesterol-ester-heneico [l] + 0.0001 cholesterol-ester-hepta [l] + 0.0001 cholesterol-ester-hexacosa [l] + 0.0001 cholesterol-ester-hexecose [l] + 0.0001 cholesterol-ester-laur [l] + 0.5254 cholesterol-ester-lin [l] + 0.0061 cholesterol-ester-linolen [l] + 0.0081 cholesterol-ester-myrist [l] + 0.0001 cholesterol-ester-nanode [l] + 0.1958 cholesterol-ester-ol [l] + 0.138 cholesterol-ester-palm [l] + 0.0001 cholesterol-ester-palmn [l] + 0.0001 cholesterol-ester-penta [l] + 0.0132 cholesterol-ester-stea [l] + 0.0001 cholesterol-ester-tetraco [l] + 0.0001 cholesterol-ester-trico [l] + 0.0001 cholesterol-ester-tridec [l]",always blocked
MAR03538,cholesterol-ester-laur [l] + H2O [l] --> cholesterol [l] + H+ [l] + lauric acid [l],MAM01498l;MAM02344l
MAR03539,cholesterol-ester-tridec [l] + H2O [l] --> cholesterol [l] + H+ [l] + tridecylic acid [l],MAM01510l;MAM03051l
MAR03540,cholesterol-ester-myrist [l] + H2O [l] --> cholesterol [l] + H+ [l] + myristic acid [l],MAM01501l;MAM02494l
MAR03541,cholesterol-ester-9-tetrade [l] + H2O [l] --> (9E)-tetradecenoic acid [l] + cholesterol [l] + H+ [l],MAM01487l;MAM00128l
MAR03542,cholesterol-ester-7-tetrade [l] + H2O [l] --> (7Z)-tetradecenoic acid [l] + cholesterol [l] + H+ [l],MAM01479l;MAM00117l
MAR03543,cholesterol-ester-5-tetra [l] + H2O [l] --> cholesterol [l] + H+ [l] + physeteric acid [l],MAM01470l;MAM02745l
MAR03544,cholesterol-ester-penta [l] + H2O [l] --> cholesterol [l] + H+ [l] + pentadecylic acid [l],MAM01506l;MAM02690l
MAR03545,cholesterol-ester-palm [l] + H2O [l] --> cholesterol [l] + H+ [l] + palmitate [l],MAM01504l;MAM02674l
MAR03546,cholesterol-ester-7-hexa [l] + H2O [l] --> 7-palmitoleic acid [l] + cholesterol [l] + H+ [l],MAM01477l;MAM01197l
MAR03547,cholesterol-ester-palmn [l] + H2O [l] --> cholesterol [l] + H+ [l] + palmitolate [l],MAM01505l;MAM02675l
MAR03548,cholesterol-ester-hepta [l] + H2O [l] --> cholesterol [l] + H+ [l] + margaric acid [l],MAM01495l;MAM02456l
MAR03549,cholesterol-ester-10-hepta [l] + H2O [l] --> (10Z)-heptadecenoic acid [l] + cholesterol [l] + H+ [l],MAM01454l;MAM00003l
MAR03550,cholesterol-ester-9-heptade [l] + H2O [l] --> 9-heptadecylenic acid [l] + cholesterol [l] + H+ [l],MAM01485l;MAM01238l
MAR03551,cholesterol-ester-stea [l] + H2O [l] --> cholesterol [l] + H+ [l] + stearate [l],MAM01507l;MAM02938l
MAR03552,cholesterol-ester-ol [l] + H2O [l] --> cholesterol [l] + H+ [l] + oleate [l],MAM01503l;MAM02646l
MAR03553,cholesterol-ester-13-octade [l] + H2O [l] --> (13Z)-octadecenoic acid [l] + cholesterol [l] + H+ [l],MAM01464l;MAM00019l
MAR03554,cholesterol-ester-cis-vac [l] + H2O [l] --> cholesterol [l] + cis-vaccenic acid [l] + H+ [l],MAM01489l
MAR03555,cholesterol-ester-9-octa [l] + H2O [l] --> cholesterol [l] + elaidate [l] + H+ [l],MAM01486l;MAM01778l
MAR03556,cholesterol-ester-7-octade [l] + H2O [l] --> (7Z)-octadecenoic acid [l] + cholesterol [l] + H+ [l],MAM01478l;MAM00115l
MAR03557,"cholesterol-ester-6,9-octa [l] + H2O [l] --> (6Z,9Z)-octadecadienoic acid [l] + cholesterol [l] + H+ [l]",MAM01474l;MAM00104l
MAR03558,cholesterol-ester-nanode [l] + H2O [l] --> cholesterol [l] + H+ [l] + nonadecylic acid [l],MAM01502l;MAM02613l
MAR03559,cholesterol-ester-eico [l] + H2O [l] --> cholesterol [l] + eicosanoate [l] + H+ [l],MAM01492l;MAM01771l
MAR03560,cholesterol-ester-13-eicose [l] + H2O [l] --> (13Z)-eicosenoic acid [l] + cholesterol [l] + H+ [l],MAM01463l;MAM00017l
MAR03561,cholesterol-ester-11-eico [l] + H2O [l] --> cholesterol [l] + cis-gondoic acid [l] + H+ [l],MAM01458l;MAM01584l
MAR03562,cholesterol-ester-9-eicose [l] + H2O [l] --> 9-eicosenoic acid [l] + cholesterol [l] + H+ [l],MAM01484l;MAM01235l
MAR03563,"cholesterol-ester-8,11-eico [l] + H2O [l] --> 8,11-eicosadienoic acid [l] + cholesterol [l] + H+ [l]",MAM01481l;MAM01207l
MAR03564,"cholesterol-ester-5,8,11-eico [l] + H2O [l] --> cholesterol [l] + H+ [l] + mead acid [l]",MAM01469l;MAM02457l
MAR03565,cholesterol-ester-heneico [l] + H2O [l] --> cholesterol [l] + H+ [l] + henicosanoic acid [l],MAM01494l;MAM02053l
MAR03566,cholesterol-ester-docosa [l] + H2O [l] --> behenic acid [l] + cholesterol [l] + H+ [l],MAM01491l;MAM01373l
MAR03567,cholesterol-ester-13-docose [l] + H2O [l] --> cholesterol [l] + cis-erucic acid [l] + H+ [l],MAM01462l;MAM01583l
MAR03568,cholesterol-ester-11-docose [l] + H2O [l] --> cholesterol [l] + cis-cetoleic acid [l] + H+ [l],MAM01457l;MAM01582l
MAR03569,cholesterol-ester-trico [l] + H2O [l] --> cholesterol [l] + H+ [l] + tricosanoic acid [l],MAM01509l;MAM03045l
MAR03570,cholesterol-ester-tetraco [l] + H2O [l] --> cholesterol [l] + H+ [l] + lignocerate [l],MAM01508l;MAM02385l
MAR03571,cholesterol-ester-15-tetra [l] + H2O [l] --> cholesterol [l] + H+ [l] + nervonic acid [l],MAM01465l;MAM02564l
MAR03572,cholesterol-ester-hexacosa [l] + H2O [l] --> cerotic acid [l] + cholesterol [l] + H+ [l],MAM01496l;MAM01432l
MAR03573,cholesterol-ester-hexecose [l] + H2O [l] --> cholesterol [l] + H+ [l] + ximenic acid [l],MAM01497l;MAM03153l
MAR03574,cholesterol-ester-linolen [l] + H2O [l] --> cholesterol [l] + H+ [l] + linolenate [l],MAM01500l;MAM02389l
MAR03575,"cholesterol-ester-6,9,12,15-octa [l] + H2O [l] --> cholesterol [l] + H+ [l] + stearidonic acid [l]",MAM01473l;MAM02939l
MAR03576,"cholesterol-ester-8,11,14,17-eico [l] + H2O [l] --> cholesterol [l] + H+ [l] + omega-3-arachidonic acid [l]",MAM01480l;MAM02648l
MAR03577,"cholesterol-ester-5,8,11,14,17-eico [l] + H2O [l] --> cholesterol [l] + EPA [l] + H+ [l]",MAM01468l
MAR03578,"cholesterol-ester-7,10,13,16,19-docosa [l] + H2O [l] --> cholesterol [l] + DPA [l] + H+ [l]",MAM01475l;MAM01741l
MAR03579,"cholesterol-ester-9,12,15,18,21-tetra [l] + H2O [l] --> (9Z,12Z,15Z,18Z,21Z)-TPA [l] + cholesterol [l] + H+ [l]",MAM01482l;MAM00135l
MAR03580,"cholesterol-ester-6,9,12,15,18,21-tetra [l] + H2O [l] --> (6Z,9Z,12Z,15Z,18Z,21Z)-THA [l] + cholesterol [l] + H+ [l]",MAM01471l;MAM00114l
MAR03581,"cholesterol-ester-4,7,10,13,16,19-doco [l] + H2O [l] --> cholesterol [l] + DHA [l] + H+ [l]",MAM01466l
MAR03582,"cholesterol-ester-11,14,17-eico [l] + H2O [l] --> (11Z,14Z,17Z)-eicosatrienoic acid [l] + cholesterol [l] + H+ [l]",MAM01455l;MAM00010l
MAR03583,"cholesterol-ester-13,16,19-doco [l] + H2O [l] --> 13,16,19-docosatrienoic acid [l] + cholesterol [l] + H+ [l]",MAM01460l;MAM00341l
MAR03584,"cholesterol-ester-10,13,16,19-docosa [l] + H2O [l] --> 10,13,16,19-docosatetraenoic acid [l] + cholesterol [l] + H+ [l]",MAM01452l;MAM00260l
MAR03585,"cholesterol-ester-12,15,18,21-tetracosa [l] + H2O [l] --> 12,15,18,21-tetracosatetraenoic acid [l] + cholesterol [l] + H+ [l]",MAM01459l;MAM00315l
MAR03586,cholesterol-ester-lin [l] + H2O [l] --> cholesterol [l] + H+ [l] + linoleate [l],MAM01499l
MAR03587,cholesterol-ester-gamma-lin [l] + H2O [l] --> cholesterol [l] + gamma-linolenate [l] + H+ [l],MAM01493l
MAR03588,cholesterol-ester-dihomo-gamma [l] + H2O [l] --> cholesterol [l] + dihomo-gamma-linolenate [l] + H+ [l],MAM01490l;MAM01696l
MAR03589,cholesterol-ester-arach [l] + H2O [l] --> arachidonate [l] + cholesterol [l] + H+ [l],MAM01488l
MAR03590,"cholesterol-ester-7,10,13,16-docosa [l] + H2O [l] --> adrenic acid [l] + cholesterol [l] + H+ [l]",MAM01476l;MAM01291l
MAR03591,"cholesterol-ester-9,12,15,18-tetraco [l] + H2O [l] --> (9Z,12Z,15Z,18Z)-TTA [l] + cholesterol [l] + H+ [l]",MAM01483l;MAM00132l
MAR03592,"cholesterol-ester-6,9,12,15,18-tetraco [l] + H2O [l] --> (6Z,9Z,12Z,15Z,18Z)-TPA [l] + cholesterol [l] + H+ [l]",MAM01472l;MAM00111l
MAR03593,"cholesterol-ester-4,7,10,13,16-docosa [l] + H2O [l] --> (4Z,7Z,10Z,13Z,16Z)-DPA [l] + cholesterol [l] + H+ [l]",MAM01467l;MAM00094l
MAR03594,"cholesterol-ester-11,14-eicosa [l] + H2O [l] --> (11Z,14Z)-eicosadienoic acid [l] + cholesterol [l] + H+ [l]",MAM01456l;MAM00008l
MAR03595,"cholesterol-ester-13,16-docosa [l] + H2O [l] --> (13Z,16Z)-docosadienoic acid [l] + cholesterol [l] + H+ [l]",MAM01461l;MAM00021l
MAR03596,"cholesterol-ester-10,13,16-docosa [l] + H2O [l] --> 10,13,16-docosatriynoic acid [l] + cholesterol [l] + H+ [l]",MAM01453l;MAM00265l
MAR03622,"cholesterol-ester plasma pool [r] <=> 0.0001 cholesterol-ester-10,13,16,19-docosa [r] + 0.0001 cholesterol-ester-10,13,16-docosa [r] + 0.0001 cholesterol-ester-10-hepta [r] + 0.0001 cholesterol-ester-11,14,17-eico [r] + 0.0001 cholesterol-ester-11,14-eicosa [r] + 0.0001 cholesterol-ester-11-docose [r] + 0.0001 cholesterol-ester-11-eico [r] + 0.0001 cholesterol-ester-12,15,18,21-tetracosa [r] + 0.0001 cholesterol-ester-13,16,19-doco [r] + 0.0001 cholesterol-ester-13,16-docosa [r] + 0.0001 cholesterol-ester-13-docose [r] + 0.0001 cholesterol-ester-13-eicose [r] + 0.0001 cholesterol-ester-13-octade [r] + 0.0001 cholesterol-ester-15-tetra [r] + 0.0041 cholesterol-ester-4,7,10,13,16,19-doco [r] + 0.0001 cholesterol-ester-4,7,10,13,16-docosa [r] + 0.0071 cholesterol-ester-5,8,11,14,17-eico [r] + 0.0001 cholesterol-ester-5,8,11-eico [r] + 0.0001 cholesterol-ester-5-tetra [r] + 0.0001 cholesterol-ester-6,9,12,15,18,21-tetra [r] + 0.0001 cholesterol-ester-6,9,12,15,18-tetraco [r] + 0.0001 cholesterol-ester-6,9,12,15-octa [r] + 0.0001 cholesterol-ester-6,9-octa [r] + 0.0001 cholesterol-ester-7,10,13,16,19-docosa [r] + 0.0001 cholesterol-ester-7,10,13,16-docosa [r] + 0.0406 cholesterol-ester-7-hexa [r] + 0.0001 cholesterol-ester-7-octade [r] + 0.0001 cholesterol-ester-7-tetrade [r] + 0.0001 cholesterol-ester-8,11,14,17-eico [r] + 0.0001 cholesterol-ester-8,11-eico [r] + 0.0001 cholesterol-ester-9,12,15,18,21-tetra [r] + 0.0001 cholesterol-ester-9,12,15,18-tetraco [r] + 0.0001 cholesterol-ester-9-eicose [r] + 0.0001 cholesterol-ester-9-heptade [r] + 0.0001 cholesterol-ester-9-octa [r] + 0.0001 cholesterol-ester-9-tetrade [r] + 0.0518 cholesterol-ester-arach [r] + 0.0001 cholesterol-ester-cis-vac [r] + 0.005 cholesterol-ester-dihomo-gamma [r] + 0.0001 cholesterol-ester-docosa [r] + 0.0001 cholesterol-ester-eico [r] + 0.0001 cholesterol-ester-gamma-lin [r] + 0.0001 cholesterol-ester-heneico [r] + 0.0001 cholesterol-ester-hepta [r] + 0.0001 cholesterol-ester-hexacosa [r] + 0.0001 cholesterol-ester-hexecose [r] + 0.0001 cholesterol-ester-laur [r] + 0.5254 cholesterol-ester-lin [r] + 0.0061 cholesterol-ester-linolen [r] + 0.0081 cholesterol-ester-myrist [r] + 0.0001 cholesterol-ester-nanode [r] + 0.1958 cholesterol-ester-ol [r] + 0.138 cholesterol-ester-palm [r] + 0.0001 cholesterol-ester-palmn [r] + 0.0001 cholesterol-ester-penta [r] + 0.0132 cholesterol-ester-stea [r] + 0.0001 cholesterol-ester-tetraco [r] + 0.0001 cholesterol-ester-trico [r] + 0.0001 cholesterol-ester-tridec [r]",always blocked
MAR03625,cholesterol [r] + lauroyl-CoA [r] --> cholesterol-ester-laur [r] + CoA [r],ok
MAR03626,cholesterol [r] + tridecanoyl-CoA [r] --> cholesterol-ester-tridec [r] + CoA [r],ok
MAR03627,cholesterol [r] + myristoyl-CoA [r] --> cholesterol-ester-myrist [r] + CoA [r],ok
MAR03628,(9E)-tetradecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-9-tetrade [r] + CoA [r],ok
MAR03629,(7Z)-tetradecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-7-tetrade [r] + CoA [r],ok
MAR03630,5-tetradecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-5-tetra [r] + CoA [r],ok
MAR03631,cholesterol [r] + pentadecanoyl-CoA [r] --> cholesterol-ester-penta [r] + CoA [r],ok
MAR03632,cholesterol [r] + palmitoyl-CoA [r] --> cholesterol-ester-palm [r] + CoA [r],ok
MAR03633,7-hexadecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-7-hexa [r] + CoA [r],ok
MAR03634,cholesterol [r] + palmitoleoyl-CoA [r] --> cholesterol-ester-palmn [r] + CoA [r],ok
MAR03635,cholesterol [r] + heptadecanoyl-CoA [r] --> cholesterol-ester-hepta [r] + CoA [r],ok
MAR03636,(10Z)-heptadecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-10-hepta [r] + CoA [r],ok
MAR03637,9-heptadecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-9-heptade [r] + CoA [r],ok
MAR03638,cholesterol [r] + stearoyl-CoA [r] --> cholesterol-ester-stea [r] + CoA [r],ok
MAR03639,(13Z)-octadecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-13-octade [r] + CoA [r],ok
MAR03640,cholesterol [r] + cis-vaccenoyl-CoA [r] --> cholesterol-ester-cis-vac [r] + CoA [r],ok
MAR03641,cholesterol [r] + oleoyl-CoA [r] --> cholesterol-ester-ol [r] + CoA [r],ok
MAR03642,(9E)-octadecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-9-octa [r] + CoA [r],ok
MAR03643,(7Z)-octadecenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-7-octade [r] + CoA [r],ok
MAR03644,"(6Z,9Z)-octadecadienoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-6,9-octa [r] + CoA [r]",ok
MAR03645,cholesterol [r] + nonadecanoyl-CoA [r] --> cholesterol-ester-nanode [r] + CoA [r],ok
MAR03646,cholesterol [r] + eicosanoyl-CoA [r] --> cholesterol-ester-eico [r] + CoA [r],ok
MAR03647,(13Z)-eicosenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-13-eicose [r] + CoA [r],ok
MAR03648,(11Z)-eicosenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-11-eico [r] + CoA [r],ok
MAR03649,9-eicosenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-9-eicose [r] + CoA [r],ok
MAR03650,"(8Z,11Z)-eicosadienoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-8,11-eico [r] + CoA [r]",ok
MAR03651,"(5Z,8Z,11Z)-eicosatrienoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-5,8,11-eico [r] + CoA [r]",ok
MAR03652,cholesterol [r] + heneicosanoyl-CoA [r] --> cholesterol-ester-heneico [r] + CoA [r],ok
MAR03653,cholesterol [r] + docosanoyl-CoA [r] --> cholesterol-ester-docosa [r] + CoA [r],ok
MAR03654,(13Z)-docosenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-13-docose [r] + CoA [r],ok
MAR03655,(11Z)-docosenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-11-docose [r] + CoA [r],ok
MAR03656,cholesterol [r] + tricosanoyl-CoA [r] --> cholesterol-ester-trico [r] + CoA [r],ok
MAR03657,cholesterol [r] + tetracosanoyl-CoA [r] --> cholesterol-ester-tetraco [r] + CoA [r],ok
MAR03658,(15Z)-tetracosenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-15-tetra [r] + CoA [r],ok
MAR03659,cholesterol [r] + hexacosanoyl-CoA [r] --> cholesterol-ester-hexacosa [r] + CoA [r],ok
MAR03660,cholesterol [r] + hexacosenoyl-CoA [r] --> cholesterol-ester-hexecose [r] + CoA [r],ok
MAR03661,cholesterol [r] + linolenoyl-CoA [r] --> cholesterol-ester-linolen [r] + CoA [r],ok
MAR03662,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-6,9,12,15-octa [r] + CoA [r]",ok
MAR03663,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-8,11,14,17-eico [r] + CoA [r]",ok
MAR03664,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-5,8,11,14,17-eico [r] + CoA [r]",ok
MAR03665,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-7,10,13,16,19-docosa [r] + CoA [r]",ok
MAR03666,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-9,12,15,18,21-tetra [r] + CoA [r]",ok
MAR03667,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-6,9,12,15,18,21-tetra [r] + CoA [r]",ok
MAR03668,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-4,7,10,13,16,19-doco [r] + CoA [r]",ok
MAR03669,"(11Z,14Z,17Z)-eicosatrienoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-11,14,17-eico [r] + CoA [r]",ok
MAR03670,"13,16,19-docosatrienoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-13,16,19-doco [r] + CoA [r]",ok
MAR03671,"10,13,16,19-docosatetraenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-10,13,16,19-docosa [r] + CoA [r]",ok
MAR03672,"12,15,18,21-tetracosatetraenoyl-CoA [r] + cholesterol [r] --> cholesterol-ester-12,15,18,21-tetracosa [r] + CoA [r]",ok
MAR03673,cholesterol [r] + linoleoyl-CoA [r] --> cholesterol-ester-lin [r] + CoA [r],ok
MAR03674,cholesterol [r] + gamma-linolenoyl-CoA [r] --> cholesterol-ester-gamma-lin [r] + CoA [r],ok
